family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_Hurst:hi@p99,SHORT,counter,standard,833,37.86,7.858,28,78.6,78.6,78.6,1.353,-129.7,4,14,9,4,2,0,0,65.2,False,none
F13,Micro_Hurst:lo@p50,LONG,aligned,standard,38414,1746.09,362.396,794,78.3,78.4,78.3,1.144,-292.7,3,22,14,5,3,1,0,60.6,False,none
F13,Micro_Hurst:lo@p50,LONG,counter,standard,38917,1768.95,367.142,921,83.5,83.4,83.5,1.548,-399.3,6,22,19,6,6,3,1,91.2,False,none
F13,Micro_Hurst:lo@p50,SHORT,aligned,standard,38917,1768.95,367.142,897,78.0,78.3,78.0,1.029,-477.0,4,22,14,6,2,4,1,58.8,False,none
F13,Micro_Hurst:lo@p50,SHORT,counter,standard,38414,1746.09,362.396,767,79.1,79.3,79.1,1.244,-389.2,4,22,15,5,5,2,0,72.7,False,none
F13,Micro_Hurst:lo@p40,LONG,aligned,standard,30787,1399.41,290.443,676,77.5,77.5,77.5,1.011,-376.6,4,22,12,5,2,0,0,54.5,False,none
F13,Micro_Hurst:lo@p40,LONG,counter,standard,31223,1419.23,294.557,821,83.8,83.7,83.8,1.545,-363.1,6,22,18,6,6,3,0,88.2,False,none
F13,Micro_Hurst:lo@p40,SHORT,aligned,standard,31223,1419.23,294.557,789,78.7,79.0,78.7,0.998,-349.8,4,22,13,6,2,4,0,55.9,False,none
F13,Micro_Hurst:lo@p40,SHORT,counter,standard,30787,1399.41,290.443,665,79.7,79.8,79.7,1.311,-371.8,5,22,16,5,4,1,0,75.8,False,none
F13,Micro_Hurst:lo@p30,LONG,aligned,standard,23268,1057.64,219.509,547,77.0,77.0,77.0,0.971,-400.0,2,22,8,5,4,0,0,42.4,False,none
F13,Micro_Hurst:lo@p30,LONG,counter,standard,23488,1067.64,221.585,670,83.6,83.5,83.6,1.543,-405.0,6,22,16,6,6,3,0,82.4,False,none
F13,Micro_Hurst:lo@p30,SHORT,aligned,standard,23488,1067.64,221.585,651,78.5,78.9,78.5,0.973,-387.1,3,22,10,6,3,3,0,47.1,False,none
F13,Micro_Hurst:lo@p30,SHORT,counter,standard,23268,1057.64,219.509,536,81.5,81.7,81.5,1.464,-428.5,6,22,16,5,5,1,0,81.8,False,none
