family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,KAMA_Slope:hi@p50,LONG,aligned,standard,62669,2848.59,591.217,1053,78.9,79.0,78.9,1.174,-543.6,5,22,15,6,5,1,0,73.5,False,none
F13,KAMA_Slope:hi@p50,LONG,counter,standard,12898,586.27,121.679,298,84.6,84.8,84.6,1.568,-306.0,5,22,16,6,6,1,0,79.4,False,none
F13,KAMA_Slope:hi@p50,SHORT,aligned,standard,12898,586.27,121.679,305,74.4,74.3,74.4,1.013,-315.8,4,22,10,6,4,1,0,52.9,False,none
F13,KAMA_Slope:hi@p50,SHORT,counter,standard,62669,2848.59,591.217,1099,78.4,78.6,78.4,1.214,-561.1,5,22,15,6,5,3,0,73.5,False,none
F13,KAMA_Slope:hi@p60,LONG,aligned,standard,48987,2226.68,462.142,1027,79.1,79.1,79.1,1.186,-554.5,5,22,15,6,5,1,0,73.5,False,none
F13,KAMA_Slope:hi@p60,LONG,counter,standard,5475,248.86,51.651,222,85.1,85.1,85.1,1.461,-306.0,5,22,15,5,5,0,0,75.8,False,none
F13,KAMA_Slope:hi@p60,SHORT,aligned,standard,5475,248.86,51.651,229,74.7,74.7,74.7,1.157,-363.7,4,22,13,5,4,0,0,63.6,False,none
F13,KAMA_Slope:hi@p60,SHORT,counter,standard,48987,2226.68,462.142,1048,78.7,78.9,78.7,1.233,-561.1,6,22,15,6,4,3,0,73.5,False,none
F13,KAMA_Slope:hi@p70,LONG,aligned,standard,35516,1614.36,335.057,945,79.5,79.6,79.5,1.225,-596.2,5,22,15,6,4,1,0,70.6,False,none
F13,KAMA_Slope:hi@p70,LONG,counter,standard,2506,113.91,23.642,147,84.4,84.4,84.4,1.426,-306.0,4,22,15,5,3,0,0,66.7,False,none
F13,KAMA_Slope:hi@p70,SHORT,aligned,standard,2506,113.91,23.642,156,78.2,78.2,78.2,1.27,-289.4,4,22,12,5,4,0,0,60.6,False,none
F13,KAMA_Slope:hi@p70,SHORT,counter,standard,35516,1614.36,335.057,950,78.2,78.4,78.2,1.217,-476.5,6,22,16,6,4,4,0,76.5,False,none
