family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,PrevDay_Low_Dist_ATR:hi@p50,LONG,aligned,standard,48573,2207.86,458.236,422,78.7,78.7,78.7,1.05,-491.5,3,22,12,5,3,0,0,54.5,False,none
F13,PrevDay_Low_Dist_ATR:hi@p50,LONG,counter,standard,42625,1937.5,402.123,341,80.1,80.1,80.1,1.236,-197.0,4,20,13,6,5,0,0,68.8,False,none
F13,PrevDay_Low_Dist_ATR:hi@p50,SHORT,aligned,standard,42625,1937.5,402.123,353,76.5,76.4,76.5,0.874,-371.2,3,20,11,6,2,1,0,50.0,False,none
F13,PrevDay_Low_Dist_ATR:hi@p50,SHORT,counter,standard,48573,2207.86,458.236,444,77.7,77.9,77.7,1.237,-374.1,5,22,13,5,3,1,0,63.6,False,none
F13,PrevDay_Low_Dist_ATR:hi@p60,LONG,aligned,standard,42958,1952.64,405.264,305,76.4,76.4,76.4,1.047,-584.5,4,18,8,5,3,0,0,51.7,False,none
F13,PrevDay_Low_Dist_ATR:hi@p60,LONG,counter,standard,37399,1699.95,352.821,282,80.5,80.5,80.5,1.056,-195.8,2,17,10,5,3,0,0,53.6,False,none
F13,PrevDay_Low_Dist_ATR:hi@p60,SHORT,aligned,standard,37399,1699.95,352.821,258,79.1,79.1,79.1,1.116,-237.1,4,17,9,5,2,0,0,53.6,False,none
F13,PrevDay_Low_Dist_ATR:hi@p60,SHORT,counter,standard,42958,1952.64,405.264,329,78.1,78.1,78.1,1.365,-369.0,4,18,11,5,4,0,0,65.5,False,none
F13,PrevDay_Low_Dist_ATR:hi@p70,LONG,aligned,standard,36710,1668.64,346.321,217,75.6,75.6,75.6,0.93,-740.1,2,15,10,5,2,0,0,56.0,False,none
F13,PrevDay_Low_Dist_ATR:hi@p70,LONG,counter,standard,31823,1446.5,300.217,190,78.9,78.9,78.9,1.103,-336.2,4,16,9,5,3,0,0,59.3,False,none
F13,PrevDay_Low_Dist_ATR:hi@p70,SHORT,aligned,standard,31823,1446.5,300.217,188,78.2,78.2,78.2,1.104,-245.7,3,16,11,5,2,0,0,59.3,False,none
F13,PrevDay_Low_Dist_ATR:hi@p70,SHORT,counter,standard,36710,1668.64,346.321,238,83.2,83.2,83.2,1.721,-226.7,5,15,10,5,4,0,0,76.0,False,none
F13,PrevDay_Low_Dist_ATR:hi@p80,LONG,aligned,standard,29887,1358.5,281.953,146,74.0,74.0,74.0,0.931,-315.6,3,12,5,5,2,0,0,45.5,False,none
F13,PrevDay_Low_Dist_ATR:hi@p80,LONG,counter,standard,25627,1164.86,241.764,108,83.3,83.3,83.3,1.322,-187.0,4,13,9,5,4,0,0,73.9,False,none
F13,PrevDay_Low_Dist_ATR:hi@p80,SHORT,aligned,standard,25627,1164.86,241.764,116,75.0,75.0,75.0,0.941,-300.4,1,13,5,5,3,0,0,39.1,False,none
F13,PrevDay_Low_Dist_ATR:hi@p80,SHORT,counter,standard,29887,1358.5,281.953,161,82.0,82.0,82.0,1.334,-233.7,3,12,7,5,3,0,0,59.1,False,none
