family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,DailyOpen_Dist_ATR:hi@p80,SHORT,aligned,standard,18497,840.77,174.5,198,77.3,77.3,77.3,1.141,-306.7,4,16,6,5,3,0,0,50.0,False,none
F13,DailyOpen_Dist_ATR:hi@p80,SHORT,counter,standard,21242,965.55,200.396,184,78.3,78.7,78.3,1.249,-236.7,3,16,10,5,3,1,0,61.5,False,none
F13,DailyOpen_Dist_ATR:hi@p90,LONG,aligned,standard,13435,610.68,126.745,110,76.4,76.4,76.4,0.812,-467.0,2,13,8,5,3,0,0,56.5,False,none
F13,DailyOpen_Dist_ATR:hi@p90,LONG,counter,standard,11309,514.05,106.689,124,79.8,79.8,79.8,0.994,-349.0,2,13,8,5,3,0,0,56.5,False,none
F13,DailyOpen_Dist_ATR:hi@p90,SHORT,aligned,standard,11309,514.05,106.689,111,79.3,79.3,79.3,1.225,-188.9,4,13,10,5,3,0,0,73.9,False,none
F13,DailyOpen_Dist_ATR:hi@p90,SHORT,counter,standard,13435,610.68,126.745,106,75.5,75.5,75.5,0.939,-251.6,3,13,6,5,1,0,0,43.5,False,none
F13,DailyOpen_Dist_ATR:hi@p95,LONG,aligned,standard,8890,404.09,83.868,60,68.3,68.3,68.3,0.558,-222.2,1,10,4,5,1,0,0,31.6,False,none
F13,DailyOpen_Dist_ATR:hi@p95,LONG,counter,standard,7235,328.86,68.255,76,77.6,77.6,77.6,1.033,-156.2,2,9,5,5,3,0,0,55.6,False,none
F13,DailyOpen_Dist_ATR:hi@p95,SHORT,aligned,standard,7235,328.86,68.255,74,81.1,81.1,81.1,1.774,-174.2,4,9,7,5,3,0,0,77.8,False,none
F13,DailyOpen_Dist_ATR:hi@p95,SHORT,counter,standard,8890,404.09,83.868,55,80.0,80.0,80.0,1.162,-99.4,2,10,4,5,2,0,0,42.1,False,none
