family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_BarEntropy:hi@p50,LONG,aligned,standard,34716,1578.0,327.509,941,78.7,78.9,78.7,1.122,-445.8,6,22,15,6,4,2,0,73.5,False,none
F13,Micro_BarEntropy:hi@p50,LONG,counter,standard,35886,1631.18,338.547,1013,82.8,83.0,82.8,1.448,-334.0,6,22,19,6,6,3,1,91.2,False,none
F13,Micro_BarEntropy:hi@p50,SHORT,aligned,standard,35886,1631.18,338.547,1011,79.5,79.7,79.5,1.113,-468.8,4,22,14,6,4,2,1,64.7,False,none
F13,Micro_BarEntropy:hi@p50,SHORT,counter,standard,34716,1578.0,327.509,924,79.8,79.9,79.8,1.241,-472.3,5,22,14,6,5,2,0,70.6,False,none
F13,Micro_BarEntropy:hi@p60,LONG,aligned,standard,28386,1290.27,267.792,844,77.6,77.8,77.6,1.086,-475.4,5,22,11,6,2,2,0,52.9,False,none
F13,Micro_BarEntropy:hi@p60,LONG,counter,standard,29281,1330.95,276.236,938,82.0,82.2,82.0,1.349,-315.0,6,22,19,6,6,2,1,91.2,False,none
F13,Micro_BarEntropy:hi@p60,SHORT,aligned,standard,29281,1330.95,276.236,916,78.5,78.7,78.5,1.061,-618.7,3,22,11,6,4,2,1,52.9,False,none
F13,Micro_BarEntropy:hi@p60,SHORT,counter,standard,28386,1290.27,267.792,825,79.3,79.5,79.3,1.222,-472.3,6,22,15,6,5,2,0,76.5,False,none
F13,Micro_BarEntropy:hi@p70,LONG,aligned,standard,21786,990.27,205.528,743,77.4,77.6,77.4,1.058,-533.6,5,22,16,6,3,2,0,70.6,False,none
F13,Micro_BarEntropy:hi@p70,LONG,counter,standard,22333,1015.14,210.689,833,82.8,82.9,82.8,1.385,-346.4,6,22,20,6,6,2,1,94.1,False,none
F13,Micro_BarEntropy:hi@p70,SHORT,aligned,standard,22333,1015.14,210.689,809,78.1,78.3,78.1,1.051,-443.3,3,22,10,6,4,2,1,50.0,False,none
F13,Micro_BarEntropy:hi@p70,SHORT,counter,standard,21786,990.27,205.528,718,80.1,80.2,80.1,1.298,-476.8,6,22,18,6,5,1,0,85.3,False,none
F13,Micro_BarEntropy:hi@p80,LONG,aligned,standard,14627,664.86,137.991,588,76.2,76.5,76.2,0.963,-415.6,3,22,10,6,2,2,0,44.1,False,none
F13,Micro_BarEntropy:hi@p80,LONG,counter,standard,14929,678.59,140.84,658,82.7,82.8,82.7,1.35,-516.8,6,22,15,6,6,2,0,79.4,False,none
F13,Micro_BarEntropy:hi@p80,SHORT,aligned,standard,14929,678.59,140.84,653,78.9,79.1,78.9,1.106,-250.5,4,22,13,6,6,2,1,67.6,False,none
F13,Micro_BarEntropy:hi@p80,SHORT,counter,standard,14627,664.86,137.991,568,82.2,82.3,82.2,1.412,-384.5,6,22,16,6,6,2,0,82.4,False,none
F13,Micro_BarEntropy:hi@p90,LONG,aligned,standard,7348,334.0,69.321,362,76.2,76.5,76.2,1.02,-293.9,1,22,5,5,3,1,0,27.3,False,none
F13,Micro_BarEntropy:hi@p90,LONG,counter,standard,7566,343.91,71.377,430,82.1,82.5,82.1,1.273,-331.4,6,22,16,6,4,2,0,76.5,False,none
F13,Micro_BarEntropy:hi@p90,SHORT,aligned,standard,7566,343.91,71.377,426,80.5,80.5,80.5,1.141,-323.1,5,22,15,6,4,1,1,70.6,False,none
F13,Micro_BarEntropy:hi@p90,SHORT,counter,standard,7348,334.0,69.321,362,83.4,83.6,83.4,1.577,-218.2,6,22,15,5,5,2,0,78.8,False,none
F13,Micro_BarEntropy:hi@p95,LONG,aligned,standard,3698,168.09,34.887,193,79.3,79.3,79.3,1.141,-273.8,3,22,10,5,2,0,0,45.5,False,none
F13,Micro_BarEntropy:hi@p95,LONG,counter,standard,3947,179.41,37.236,248,81.9,81.9,81.9,1.139,-369.3,5,22,15,5,4,0,0,72.7,False,none
F13,Micro_BarEntropy:hi@p95,SHORT,aligned,standard,3947,179.41,37.236,244,82.8,82.7,82.8,1.342,-155.1,5,22,15,5,4,1,1,72.7,False,none
F13,Micro_BarEntropy:hi@p95,SHORT,counter,standard,3698,168.09,34.887,197,80.7,80.7,80.7,1.344,-194.3,3,22,12,5,5,0,0,60.6,False,none
F13,Micro_BarEntropy:hi@p97,LONG,aligned,standard,2268,103.09,21.396,124,82.3,82.3,82.3,1.391,-209.1,4,21,12,5,3,0,0,59.4,False,none
F13,Micro_BarEntropy:hi@p97,LONG,counter,standard,2381,108.23,22.462,163,82.2,82.2,82.2,1.242,-334.6,3,22,17,5,4,0,0,72.7,False,none
F13,Micro_BarEntropy:hi@p97,SHORT,aligned,standard,2381,108.23,22.462,162,83.3,83.2,83.3,1.472,-153.0,5,22,15,5,4,1,0,72.7,False,none
F13,Micro_BarEntropy:hi@p97,SHORT,counter,standard,2268,103.09,21.396,129,80.6,80.6,80.6,1.34,-171.2,3,21,12,5,4,0,0,59.4,False,none
F13,Micro_BarEntropy:hi@p99,LONG,aligned,standard,895,40.68,8.443,39,89.7,89.7,89.7,2.889,-153.0,6,16,13,5,4,0,0,85.2,False,none
F13,Micro_BarEntropy:hi@p99,LONG,counter,standard,988,44.91,9.321,64,89.1,89.1,89.1,2.326,-129.3,5,21,16,5,4,0,0,78.1,False,none
F13,Micro_BarEntropy:hi@p99,SHORT,aligned,standard,988,44.91,9.321,63,74.6,74.6,74.6,0.777,-153.0,2,21,11,5,2,0,0,46.9,False,none
F13,Micro_BarEntropy:hi@p99,SHORT,counter,standard,895,40.68,8.443,39,74.4,74.4,74.4,0.702,-153.0,3,16,8,5,3,0,0,51.9,False,none
