family,signal_def,direction,d2d_mode,gating,trades,total_firings,firings_per_week,firings_per_day,mask_bars,WR,wr_pre_fc,wr_post_fc,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,persistence,exit_FC,exit_EOD,survival,tier
F13,AT_Slope_ST:hi@p99,LONG,counter,standard,5,5,0.23,0.047,55,100.0,100.0,100.0,999.0,10.3,4,4,4,3,3,100.0,0,0,False,surface
F13,Slope_EMA_ST:hi@p99,LONG,counter,standard,5,5,0.23,0.047,48,100.0,100.0,100.0,999.0,22.1,3,3,3,2,2,100.0,0,0,False,surface
F13,EMA_Oscillator:hi@p97,LONG,counter,standard,5,5,0.23,0.047,38,100.0,100.0,100.0,999.0,20.2,2,2,2,1,1,100.0,0,0,False,surface
F13,KAMA_Slope:lo@p1,SHORT,counter,standard,5,5,0.23,0.047,18,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,Harmonic_LLEMA:lo@p1,SHORT,counter,standard,5,5,0.23,0.047,9,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p20,SHORT,aligned,standard,4,4,0.18,0.038,31323,100.0,100.0,100.0,999.0,0.6,1,3,3,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p10,SHORT,aligned,standard,4,4,0.18,0.038,24966,100.0,100.0,100.0,999.0,0.6,3,4,4,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p3,LONG,aligned,standard,4,4,0.18,0.038,19585,100.0,100.0,100.0,999.0,15.6,3,4,4,3,3,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p3,SHORT,counter,standard,4,4,0.18,0.038,19585,100.0,100.0,100.0,999.0,15.6,3,4,4,3,3,100.0,0,0,False,surface
F13,TChan_A15:lo@p3,SHORT,aligned,standard,4,4,0.18,0.038,8387,100.0,100.0,100.0,999.0,11.5,2,3,3,2,2,100.0,0,0,False,surface
F13,Micro_BarEntropy:lo@p1,LONG,aligned,standard,4,4,0.18,0.038,533,100.0,100.0,100.0,999.0,15.9,2,3,3,3,3,100.0,0,0,False,surface
F13,PoC_Side:==0,SHORT,counter,standard,4,4,0.18,0.038,328,100.0,100.0,100.0,999.0,29.2,3,4,4,3,3,100.0,0,0,False,surface
F13,VAH_Dist_ATR:lo@p1,SHORT,counter,standard,4,4,0.18,0.038,306,100.0,100.0,100.0,999.0,12.5,2,3,3,4,4,100.0,0,0,False,surface
F13,AT_Slope_ST:hi@p99,SHORT,aligned,standard,4,4,0.18,0.038,55,100.0,100.0,100.0,999.0,10.3,4,4,4,3,3,100.0,0,0,False,surface
F13,AT_Slope_ST:lo@p1,SHORT,counter,standard,4,4,0.18,0.038,38,100.0,100.0,100.0,999.0,22.5,3,3,3,3,3,100.0,0,0,False,surface
F13,ATR_1M:lo@p40,LONG,aligned,standard,3,3,0.14,0.028,47470,100.0,100.0,100.0,999.0,8.8,1,2,2,2,2,100.0,0,0,False,surface
F13,ATR_1M:lo@p40,SHORT,counter,standard,3,3,0.14,0.028,47470,100.0,100.0,100.0,999.0,8.8,1,2,2,2,2,100.0,0,0,False,surface
F13,D2D_ATR:lo@p30,LONG,aligned,standard,3,3,0.14,0.028,42405,100.0,100.0,100.0,999.0,10.4,1,1,1,2,2,100.0,0,0,False,surface
F13,D2D_ATR:lo@p30,SHORT,counter,standard,3,3,0.14,0.028,42405,100.0,100.0,100.0,999.0,10.4,1,1,1,2,2,100.0,0,0,False,surface
F13,D2D_ATR:lo@p30,SHORT,aligned,standard,3,3,0.14,0.028,37884,100.0,100.0,100.0,999.0,0.6,1,2,2,2,2,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p10,LONG,aligned,standard,3,3,0.14,0.028,26801,100.0,100.0,100.0,999.0,15.6,3,3,3,2,2,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p10,SHORT,counter,standard,3,3,0.14,0.028,26801,100.0,100.0,100.0,999.0,15.6,3,3,3,2,2,100.0,0,0,False,surface
F13,Round_1000_Dist_ATR:hi@p90,SHORT,aligned,standard,3,3,0.14,0.028,20534,100.0,100.0,100.0,999.0,0.6,2,3,3,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p5,SHORT,aligned,standard,3,3,0.14,0.028,19797,100.0,100.0,100.0,999.0,0.6,3,3,3,2,2,100.0,0,0,False,surface
F13,VWAP_Sigma:lo@p5,SHORT,aligned,standard,3,3,0.14,0.028,12495,100.0,100.0,100.0,999.0,0.6,2,3,3,2,2,100.0,0,0,False,surface
F13,PoC_Side:==-1,LONG,aligned,standard,3,3,0.14,0.028,3563,100.0,100.0,100.0,999.0,9.1,3,3,3,2,2,100.0,0,0,False,surface
F13,VAH_Side:==0,SHORT,counter,standard,3,3,0.14,0.028,294,100.0,100.0,100.0,999.0,32.9,2,3,3,3,3,100.0,0,0,False,surface
F13,AT_Score_ST:hi@p97,LONG,counter,standard,3,3,0.14,0.028,277,100.0,100.0,100.0,999.0,16.3,3,3,3,3,3,100.0,0,0,False,surface
F13,D2D_Persist:hi@p90,SHORT,aligned,standard,3,3,0.14,0.028,133,100.0,100.0,100.0,999.0,8.6,3,3,3,3,3,100.0,0,0,False,surface
F13,Session_Low_Dist_ATR:lo@p1,LONG,aligned,standard,3,3,0.14,0.028,71,100.0,100.0,100.0,999.0,27.6,2,3,3,3,3,100.0,0,0,False,surface
F13,Session_Low_Dist_ATR:lo@p1,SHORT,counter,standard,3,3,0.14,0.028,71,100.0,100.0,100.0,999.0,27.6,2,3,3,3,3,100.0,0,0,False,surface
F13,EMA_Oscillator:hi@p99,LONG,counter,standard,3,3,0.14,0.028,32,100.0,100.0,100.0,999.0,162.9,1,1,1,1,1,100.0,0,0,False,surface
F13,Session_High_Side:==0,LONG,counter,standard,3,3,0.14,0.028,25,100.0,100.0,100.0,999.0,20.2,3,3,3,2,2,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p20,SHORT,aligned,standard,2,2,0.09,0.019,30328,100.0,100.0,100.0,999.0,0.6,1,2,2,2,2,100.0,0,0,False,surface
F13,Bar_Range:lo@p20,SHORT,aligned,standard,2,2,0.09,0.019,28967,100.0,100.0,100.0,999.0,0.6,1,2,2,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p3,SHORT,aligned,standard,2,2,0.09,0.019,16745,100.0,100.0,100.0,999.0,0.6,2,2,2,1,1,100.0,0,0,False,surface
F13,Round_1000_Dist_ATR:hi@p95,SHORT,aligned,standard,2,2,0.09,0.019,15680,100.0,100.0,100.0,999.0,0.6,1,2,2,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p1,LONG,aligned,standard,2,2,0.09,0.019,13221,100.0,100.0,100.0,999.0,15.6,2,2,2,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p1,SHORT,counter,standard,2,2,0.09,0.019,13221,100.0,100.0,100.0,999.0,15.6,2,2,2,2,2,100.0,0,0,False,surface
F13,WeeklyOpen_Dist_ATR:hi@p99,LONG,aligned,standard,2,2,0.09,0.019,11642,100.0,100.0,100.0,999.0,113.3,1,1,1,1,1,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p1,SHORT,aligned,standard,2,2,0.09,0.019,11376,100.0,100.0,100.0,999.0,0.6,2,2,2,1,1,100.0,0,0,False,surface
F13,VWAP_Sigma:lo@p3,SHORT,aligned,standard,2,2,0.09,0.019,9327,100.0,100.0,100.0,999.0,0.6,1,2,2,2,2,100.0,0,0,False,surface
F13,VWAP_Sigma_ATR:hi@p99,SHORT,aligned,standard,2,2,0.09,0.019,2762,100.0,100.0,100.0,999.0,83.3,1,1,1,1,1,100.0,0,0,False,surface
F13,OR_High_Dist_ATR:lo@p30,LONG,aligned,standard,2,2,0.09,0.019,921,100.0,100.0,100.0,999.0,7.8,2,2,2,2,2,100.0,0,0,False,surface
F13,OR_High_Dist_ATR:lo@p30,SHORT,counter,standard,2,2,0.09,0.019,921,100.0,100.0,100.0,999.0,7.8,2,2,2,2,2,100.0,0,0,False,surface
F13,VAL_Dist_ATR:lo@p1,LONG,aligned,standard,2,2,0.09,0.019,148,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,Micro_BarOverlap:lo@p1,LONG,counter,standard,2,2,0.09,0.019,132,100.0,100.0,100.0,999.0,17.8,2,2,2,1,1,100.0,0,0,False,surface
F13,Micro_BarOverlap:lo@p1,SHORT,aligned,standard,2,2,0.09,0.019,132,100.0,100.0,100.0,999.0,17.8,2,2,2,1,1,100.0,0,0,False,surface
F13,VAL_Side:==0,LONG,aligned,standard,2,2,0.09,0.019,117,100.0,100.0,100.0,999.0,40.0,2,2,2,2,2,100.0,0,0,False,surface
F13,VAL_Side:==0,SHORT,counter,standard,2,2,0.09,0.019,117,100.0,100.0,100.0,999.0,40.0,2,2,2,2,2,100.0,0,0,False,surface
F13,D2D_Persist:lo@p10,LONG,aligned,standard,2,2,0.09,0.019,80,100.0,100.0,100.0,999.0,16.4,2,2,2,2,2,100.0,0,0,False,surface
F13,RangeOsc_Val:lo@p1,LONG,aligned,standard,2,2,0.09,0.019,61,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,AT_Score_ST:lo@p1,LONG,aligned,standard,2,2,0.09,0.019,20,100.0,100.0,100.0,999.0,17.3,2,2,2,2,2,100.0,0,0,False,surface
F13,Micro_FractalDim:lo@p1,LONG,aligned,standard,2,2,0.09,0.019,8,100.0,100.0,100.0,999.0,43.1,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p30,LONG,aligned,standard,1,1,0.05,0.009,39856,100.0,100.0,100.0,999.0,8.8,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p30,SHORT,counter,standard,1,1,0.05,0.009,39856,100.0,100.0,100.0,999.0,8.8,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR:lo@p20,LONG,aligned,standard,1,1,0.05,0.009,35689,100.0,100.0,100.0,999.0,9.9,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR:lo@p20,SHORT,counter,standard,1,1,0.05,0.009,35689,100.0,100.0,100.0,999.0,9.9,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p20,LONG,aligned,standard,1,1,0.05,0.009,34285,100.0,100.0,100.0,999.0,10.9,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p20,SHORT,counter,standard,1,1,0.05,0.009,34285,100.0,100.0,100.0,999.0,10.9,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR:lo@p20,SHORT,aligned,standard,1,1,0.05,0.009,31691,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,ATR_1M:lo@p20,SHORT,aligned,standard,1,1,0.05,0.009,30893,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR:lo@p10,SHORT,aligned,standard,1,1,0.05,0.009,24175,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p10,SHORT,aligned,standard,1,1,0.05,0.009,23305,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,ATR_1M:lo@p10,SHORT,aligned,standard,1,1,0.05,0.009,23009,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p10,SHORT,aligned,standard,1,1,0.05,0.009,22231,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p5,LONG,aligned,standard,1,1,0.05,0.009,21110,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p5,SHORT,counter,standard,1,1,0.05,0.009,21110,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p10,SHORT,aligned,standard,1,1,0.05,0.009,20737,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,19263,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,18173,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,ATR_1M:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,17774,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p3,LONG,aligned,standard,1,1,0.05,0.009,17689,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p3,SHORT,counter,standard,1,1,0.05,0.009,17689,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,16808,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,15533,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p3,SHORT,aligned,standard,1,1,0.05,0.009,15254,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,ATR_1M:lo@p3,SHORT,aligned,standard,1,1,0.05,0.009,14965,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p3,SHORT,aligned,standard,1,1,0.05,0.009,13776,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Round_500_Dist_ATR:hi@p95,SHORT,aligned,standard,1,1,0.05,0.009,13394,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Round_1000_Dist_ATR:hi@p97,SHORT,aligned,standard,1,1,0.05,0.009,13195,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p3,SHORT,aligned,standard,1,1,0.05,0.009,12564,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p1,LONG,aligned,standard,1,1,0.05,0.009,12279,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p1,SHORT,counter,standard,1,1,0.05,0.009,12279,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Round_500_Dist_ATR:hi@p97,SHORT,aligned,standard,1,1,0.05,0.009,10977,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,ATR_1M:lo@p1,SHORT,aligned,standard,1,1,0.05,0.009,10393,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Volume_Ratio_10:lo@p5,SHORT,aligned,standard,1,1,0.05,0.009,9238,100.0,100.0,100.0,999.0,27.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p1,SHORT,aligned,standard,1,1,0.05,0.009,9166,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,Bar_Range:lo@p1,SHORT,aligned,standard,1,1,0.05,0.009,8216,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,TChan_A15:lo@p1,LONG,aligned,standard,1,1,0.05,0.009,6527,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,TChan_A15:lo@p1,SHORT,counter,standard,1,1,0.05,0.009,6527,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,VWAP_Sigma:lo@p1,SHORT,aligned,standard,1,1,0.05,0.009,5287,100.0,100.0,100.0,999.0,0.6,1,1,1,1,1,100.0,0,0,False,surface
F13,VWAP_Sigma:lo@p1,LONG,aligned,standard,1,1,0.05,0.009,5185,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,VWAP_Sigma:lo@p1,SHORT,counter,standard,1,1,0.05,0.009,5185,100.0,100.0,100.0,999.0,15.6,1,1,1,1,1,100.0,0,0,False,surface
F13,VWAP_Sigma_ATR:hi@p99,LONG,aligned,standard,1,1,0.05,0.009,3119,100.0,100.0,100.0,999.0,8.1,1,1,1,1,1,100.0,0,0,False,surface
F13,OR_Low_Dist_ATR:lo@p30,LONG,aligned,standard,1,1,0.05,0.009,911,100.0,100.0,100.0,999.0,7.8,1,1,1,1,1,100.0,0,0,False,surface
F13,OR_Low_Dist_ATR:lo@p30,SHORT,counter,standard,1,1,0.05,0.009,911,100.0,100.0,100.0,999.0,7.8,1,1,1,1,1,100.0,0,0,False,surface
F13,KAMA_Dist_ATR:hi@p95,LONG,counter,standard,1,1,0.05,0.009,258,100.0,100.0,100.0,999.0,26.6,1,1,1,1,1,100.0,0,0,False,surface
F13,PrevDay_Close_Side:==0,SHORT,aligned,standard,1,1,0.05,0.009,145,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,KAMA_Slope:hi@p99,LONG,counter,standard,1,1,0.05,0.009,42,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,Slope_EMA_ST:lo@p1,LONG,aligned,standard,1,1,0.05,0.009,25,100.0,100.0,100.0,999.0,16.3,1,1,1,1,1,100.0,0,0,False,surface
F13,Slope_EMA_ST:lo@p1,SHORT,counter,standard,1,1,0.05,0.009,25,100.0,100.0,100.0,999.0,16.3,1,1,1,1,1,100.0,0,0,False,surface
F13,DailyOpen_Side:==0,LONG,counter,standard,1,1,0.05,0.009,23,100.0,100.0,100.0,999.0,42.3,1,1,1,1,1,100.0,0,0,False,surface
F13,KAMA_Dist:lo@p1,LONG,aligned,standard,1,1,0.05,0.009,19,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,KAMA_Dist:lo@p1,SHORT,counter,standard,1,1,0.05,0.009,19,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,Harmonic_LLEMA:hi@p99,LONG,counter,standard,1,1,0.05,0.009,18,100.0,100.0,100.0,999.0,42.0,1,1,1,1,1,100.0,0,0,False,surface
F13,DailyOpen_Side:==0,SHORT,counter,standard,1,1,0.05,0.009,17,100.0,100.0,100.0,999.0,19.3,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_FractalDim:lo@p1,LONG,counter,standard,1,1,0.05,0.009,15,100.0,100.0,100.0,999.0,44.5,1,1,1,1,1,100.0,0,0,False,surface
F13,Micro_FractalDim:lo@p1,SHORT,aligned,standard,1,1,0.05,0.009,15,100.0,100.0,100.0,999.0,12.8,1,1,1,1,1,100.0,0,0,False,surface
F13,AT_Score_ST:hi@p99,SHORT,counter,standard,13,13,0.59,0.123,780,92.3,92.3,92.3,4.355,4.4,6,7,7,5,5,100.0,0,0,False,surface
F13,OBV_Macd:lo@p1,LONG,aligned,standard,23,23,1.05,0.217,282,91.3,91.3,91.3,5.206,11.5,6,11,11,4,4,100.0,0,0,False,surface
F13,D2D_ATR:lo@p50,LONG,aligned,standard,11,11,0.5,0.104,53012,90.9,90.9,90.9,2.14,8.9,2,4,4,4,4,100.0,0,0,False,surface
F13,PrevDay_High_Dist_ATR:hi@p97,LONG,counter,standard,27,27,1.23,0.255,10953,81.5,81.5,81.5,1.732,-23.0,3,4,4,2,2,100.0,0,0,False,none
