# DOT S5C spec I.1 split derivation — THE SPLIT COUNT IS DERIVED FROM AN EXECUTABILITY FLOOR, NOT FIXED
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# floor: >=3 monthly buckets AND >=60 post-warmup trading days; >=3 buckets per direction where a direction is evaluated
# post-warmup trading days 127; first prefix meeting the floor 60 days; 67 days remain and are partitioned into contiguous equal test segments; DERIVED SPLIT COUNT = 3
# embargo = 1440 bars stated as a BAR COUNT, not a session count: the measured median session is 1,365 bars, so a session reading would embargo fewer bars than one full trading day
# scheme is ANCHORED: each training segment strictly contains the previous, so the floor binds only on the first
# NO ROW IS DELETED: segments are index ranges over the intact series and the oracle receives the full frame
# RECORDED LIMITATION — ATTESTATION SCOPE: repeat detection compares records within ONE output directory. A run started against a FRESH --out directory begins with a clean trail and its repeats are not detected. No in-process mechanism can bind an operator who deliberately starts elsewhere; the trail catches careless and accidental repeats, which is its purpose, and the Auditor verifies trail length against reported splits.
# RECORDED LIMITATION — GUARD SCOPE: TestSegmentGuard enforces the single touch on the SANCTIONED path. It does not make the test bar range unreachable — unrelated code could slice those indices directly. The guard is discipline on the intended route, not an access control.
split_index,train_first_bar,train_last_bar,embargo_first_bar,embargo_last_bar,embargo_bars,test_first_bar,test_last_bar,train_days,train_month_buckets,test_days,test_month_buckets,floor_days,floor_buckets,scheme,total_post_warmup_days,first_valid_train_days,derived_splits,under_powered
0,6900,86913,86914,88353,1440,89643,118283,60,4,21,2,60,3,anchored,127,60,3,False
1,6900,118283,118284,119723,1440,121014,147853,83,5,20,2,60,3,anchored,127,60,3,False
2,6900,147853,147854,149293,1440,150584,177250,105,6,20,2,60,3,anchored,127,60,3,False
