# DOT S5B standing fixture: EXHAUSTIVE vs GREEDY on the incumbent, BOTH directions
# dataset_rows=177251 segment=2026.01..2026.07 traded_days=122
# objective = DepthYield_d at S=5, N=5, normalised by that direction signal count
# THE FIXTURE POOL IS THE INCUMBENT BOOK 50 SIGNALS. THIS IS NOT A BOOK SELECTION AND MUST NOT BE READ AS ONE.
# It is a canary for the stopping-rule failure class: DepthYield is NON-MONOTONE in set size, and a search
# halting on the first non-positive SINGLE gain halts at |S|=1 having evaluated no set of size >=2.
# RESTRICTION IS PART OF THE FINDING: exhaustive enumeration is to max_k_enumerated plus the all-signals set;
# sizes between max_k and all are NOT enumerated, so exhaustive_optimum is a lower bound on the true optimum.
# greedy_pct_of_optimum is measured against that lower bound.
direction,set_size,exhaustive_best,argmax,greedy_value,exhaustive_optimum,optimum_at_size,greedy_pct_of_optimum,greedy_stop_reason,pair_escapes,max_k_enumerated,direction_label
1,1,0.00819672131147541,L_27_Round_50+DailyOpe+OR_Low_S,0.022131147540983605,0.02503322995126274,37,88.41,"no addition of size <= 2 improves: best single -1.267e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 351 pairs)",2,2,LONG
1,2,0.01639344262295082,L_18_Micro_Vo+AT_Regim+OR_Low_S+L_36_AT_Slope+Momentum+AT_Regim,0.022131147540983605,0.02503322995126274,37,88.41,"no addition of size <= 2 improves: best single -1.267e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 351 pairs)",2,2,LONG
1,37,0.02503322995126274,ALL,0.022131147540983605,0.02503322995126274,37,88.41,"no addition of size <= 2 improves: best single -1.267e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 351 pairs)",2,2,LONG
1,10,0.022131147540983605,GREEDY:L_27_Round_50+DailyOpe+OR_Low_S+L_32_Slope_Ac+Sqz_Stat+RangeOsc+L_18_Micro_Vo+AT_Regim+OR_Low_S+L_19_D2D_ATR_+AT_Slope+Micro_Vo+L_24_Bars_Sin+PrevDay_+OR_Low_S+L_45_Micro_Mi+AT_Regim+OR_Low_S+L_15_Bar_Rang+Micro_La+RangeOsc+L_17_AT_Lookb+AT_Slope+Micro_Ro+L_38_AT_Slope+Micro_Vo+Volume+L_9_Micro_IB+VWAP_Sig+Volume,0.022131147540983605,0.02503322995126274,37,88.41,"no addition of size <= 2 improves: best single -1.267e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 351 pairs)",2,2,LONG
-1,1,0.0,S_11_OBVf_Dir+VAL_Side+WeeklyOp,0.012295081967213115,0.012295081967213115,2,100.0,"no addition of size <= 2 improves: best single -1.366e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 55 pairs)",1,3,SHORT
-1,2,0.012295081967213115,S_39_Slope_Ac+Sqz_Val+Micro_CS+S_41_AT_Slope+Sqz_Val+Micro_CS,0.012295081967213115,0.012295081967213115,2,100.0,"no addition of size <= 2 improves: best single -1.366e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 55 pairs)",1,3,SHORT
-1,3,0.01092896174863388,S_22_AT_Lookb+Sqz_Val+Micro_Ti+S_39_Slope_Ac+Sqz_Val+Micro_CS+S_41_AT_Slope+Sqz_Val+Micro_CS,0.012295081967213115,0.012295081967213115,2,100.0,"no addition of size <= 2 improves: best single -1.366e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 55 pairs)",1,3,SHORT
-1,13,0.007566204287515763,ALL,0.012295081967213115,0.012295081967213115,2,100.0,"no addition of size <= 2 improves: best single -1.366e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 55 pairs)",1,3,SHORT
-1,2,0.012295081967213115,GREEDY:S_39_Slope_Ac+Sqz_Val+Micro_CS+S_41_AT_Slope+Sqz_Val+Micro_CS,0.012295081967213115,0.012295081967213115,2,100.0,"no addition of size <= 2 improves: best single -1.366e-03 <= eps 1.000e-09, best pair 0.000e+00 (exhaustive over 55 pairs)",1,3,SHORT
