# DOT S5C spec I.2 per-segment re-derivation — EVERY VALUE COMPUTED INSIDE ITS OWN TRAINING SEGMENT
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# ANTI-LEAK: each row is derived from bars [0, train_last_bar] only. The full-series references — effective vocabulary 238, F_max 3.869, C_max -1429.1, retention 65.0% — are REPORTING REFERENCES ONLY and appear in no constraint. Every per-split value differs from them, which is the structural evidence that the bounds are segment-local rather than full-series values wearing a per-split label.
# H.3 IS A RULE, NOT A LITERAL: buckets are the calendar months the SEGMENT contains, computed from segment timestamps. wf.py FOLDS is month-literal Jan-Jun and is NEVER imported or referenced by this stage.
# H.3.1: buckets are evaluated WITHIN direction; a thin direction is reported UNEVALUABLE and is NEITHER passed NOR culled.
# below_floor_majority_flag TRUE means more than half the pair space sits below MIN_SHARED, so TailDep is not meaningfully binding in that segment and FailConc plus the absolute survival bound carry the decision.
split_index,train_days,train_last_bar,eligible_bars_train,dead_conditions,exact_duplicate_pairs,effective_vocabulary,F_max,TailDep,retention_pct,below_floor_majority_flag,C_max,monthly_buckets,H3_LONG_buckets,H3_LONG_evaluable,H3_LONG_verdict,H3_SHORT_buckets,H3_SHORT_evaluable,H3_SHORT_verdict
0,60,86913,50494,8,4,237,1.1578,0.2898,17.7,True,0.0,2026.01;2026.02;2026.03;2026.04,4,True,PASS,4,True,PASS
1,83,118283,68249,8,4,237,1.8774,0.3141,33.0,True,-667.48,2026.01;2026.02;2026.03;2026.04;2026.05,5,True,PASS,5,True,PASS
2,105,147853,85084,7,4,238,1.8563,0.3323,51.3,False,-561.83,2026.01;2026.02;2026.03;2026.04;2026.05;2026.06,6,True,PASS,6,True,PASS
