# DOT committed-system per-trade table (spec B.2 open item 8)
# book=FROZEN ratified book (book50_signals.csv)
# dataset_rows=177251 range=2026.01.19 15:49 -> 2026.07.21 17:09
# population=FULL (BOOK F0+F1 plus gap fillers). BOOK-only = rows whose signal_name is not GAP_HURST/GAP_FB/GAP_D2D.
# oracle_sha256_12=518862bf19fb engine_sha256_12=bb498eb13ce3
signal_idx,signal_name,direction,lots,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,exit_type,tiers,be_nudged,initial_risk
45,L_46_Micro_En+Micro_HL+OR_Low_S,LONG,1.0,8010,8018,2026.01.27 16:39,2026.01.27 16:47,48964.5,49017.2988216,49.8,49.8,LF,4,True,87.998036
44,L_45_Micro_Mi+AT_Regim+OR_Low_S,LONG,2.0,8018,8020,2026.01.27 16:47,2026.01.27 16:49,49008.5,49024.3226666,25.6,12.8,BE,1,True,52.742222
24,L_25_Bars_Sin+Volume_A+Session_,LONG,2.0,8015,8025,2026.01.27 16:44,2026.01.27 16:54,49048.5,49071.7067556,40.4,20.2,BE,2,True,77.355852
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.0,8856,8889,2026.01.28 08:00,2026.01.28 08:33,49030.51,49049.1165388,15.6,15.6,BE,1,True,124.043592
5,L_6_Micro_Or+Session_+ADX_Valu,LONG,1.25,9368,9370,2026.01.28 16:32,2026.01.28 16:34,49018.3,49063.3,52.5,42.0,BE,1,True,150.0
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9368,9370,2026.01.28 16:32,2026.01.28 16:34,49018.3,49063.3,52.5,42.0,BE,1,True,150.0
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9376,9378,2026.01.28 16:40,2026.01.28 16:42,49012.8,49034.9566758,23.9,19.2,BE,1,True,73.855586
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9379,9381,2026.01.28 16:43,2026.01.28 16:45,49008.8,49024.540583600006,15.9,12.7,BE,1,True,52.468612
14,L_15_Bar_Rang+Micro_La+RangeOsc,LONG,1.0,9377,9382,2026.01.28 16:41,2026.01.28 16:46,49018.8,49038.172816800005,16.4,16.4,BE,1,True,129.152112
32,L_33_Slope_EM+Micro_Re+Session_,LONG,1.0,9377,9382,2026.01.28 16:41,2026.01.28 16:46,49018.8,49038.172816800005,16.4,16.4,BE,1,True,129.152112
28,L_29_Slope_EM+Micro_HL+Micro_Re,LONG,1.25,9381,9383,2026.01.28 16:45,2026.01.28 16:47,49022.8,49044.479963800004,23.3,18.7,BE,1,True,144.533092
29,L_30_Slope_EM+Micro_HL+Micro_Or,LONG,1.25,9381,9383,2026.01.28 16:45,2026.01.28 16:47,49022.8,49044.479963800004,23.3,18.7,BE,1,True,144.533092
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.25,9387,9389,2026.01.28 16:51,2026.01.28 16:53,48980.3,48998.1855884,18.6,14.9,BE,1,True,59.618628
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.25,9387,9389,2026.01.28 16:51,2026.01.28 16:53,48980.3,48998.1855884,18.6,14.9,BE,1,True,59.618628
36,L_37_AT_Slope+Micro_Ro+RangeOsc,LONG,1.25,9387,9389,2026.01.28 16:51,2026.01.28 16:53,48980.3,48998.1855884,18.6,14.9,BE,1,True,59.618628
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.0,9389,9391,2026.01.28 16:53,2026.01.28 16:55,48986.8,49002.3045634,12.5,12.5,BE,1,True,51.681878
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.0,9389,9391,2026.01.28 16:53,2026.01.28 16:55,48986.8,49002.3045634,12.5,12.5,BE,1,True,51.681878
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.0,9396,9398,2026.01.28 17:00,2026.01.28 17:02,48984.85,48996.9455338,9.1,9.1,BE,1,True,40.318446
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.0,9396,9398,2026.01.28 17:00,2026.01.28 17:02,48984.85,48996.9455338,9.1,9.1,BE,1,True,40.318446
19,L_20_Bar_Rang+Micro_Mo+Micro_Ti,LONG,1.0,9396,9398,2026.01.28 17:00,2026.01.28 17:02,48984.85,48996.9455338,9.1,9.1,BE,1,True,40.318446
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9385,9399,2026.01.28 16:49,2026.01.28 17:03,49012.8,49031.612796600006,19.8,15.8,BE,1,True,62.709322
30,L_31_Slope_EM+Micro_Ra+D2D_DirS,LONG,1.25,9385,9399,2026.01.28 16:49,2026.01.28 17:03,49012.8,49031.612796600006,19.8,15.8,BE,1,True,62.709322
49,L_50___F1_1+__F1_1+__F1_1,LONG,1.25,9385,9399,2026.01.28 16:49,2026.01.28 17:03,49012.8,49031.612796600006,19.8,15.8,BE,1,True,62.709322
